Model config: 512d, 8L, 8H
Iteration,Training_Loss,Validation_Loss
0,11.005382,10.080749
200,6.046486,10.080749
400,5.930805,10.080749
600,5.582684,10.080749
800,5.268125,10.080749
1000,5.435714,5.178701
1200,5.036963,5.178701
1400,4.913230,5.178701
1600,5.112425,5.178701
1800,4.640433,5.178701
2000,4.952257,4.704622
2200,4.803260,4.704622
2400,4.742366,4.704622
2600,4.646005,4.704622
2800,4.582731,4.704622
3000,4.453785,4.442474
3200,4.490312,4.442474
3400,4.379003,4.442474
3600,4.504109,4.442474
3800,4.274738,4.442474
4000,4.471268,4.217928
4200,4.100710,4.217928
4400,4.357866,4.217928
4600,4.228327,4.217928
4800,4.445878,4.217928
5000,4.144261,4.251594
5200,4.226264,4.251594
5400,4.091915,4.251594
5600,4.274667,4.251594
5800,4.319737,4.251594
6000,4.289779,4.129713
6200,4.334509,4.129713
6400,4.234798,4.129713
6600,4.341031,4.129713
6800,4.344148,4.129713
7000,4.104146,4.054076
7200,3.901788,4.054076
7400,4.150794,4.054076
7600,4.226223,4.054076
7800,3.900602,4.054076
8000,4.144994,4.033240
8200,4.028718,4.033240
8400,3.962325,4.033240
8600,3.934995,4.033240
8800,3.860226,4.033240
9000,3.912627,3.928092
9200,4.179170,3.928092
9400,3.863757,3.928092
9600,4.018547,3.928092
9800,4.032033,3.928092
10000,3.813415,3.906628
10200,3.875518,3.906628
10400,3.880766,3.906628
10600,3.853545,3.906628
10800,3.949932,3.906628
11000,3.852122,3.910594
11200,3.837288,3.910594
11400,3.962869,3.910594
11600,3.898117,3.910594
11800,3.938062,3.910594
12000,3.875236,3.838403
12200,3.866315,3.838403
12400,4.186898,3.838403
12600,3.903383,3.838403
12800,4.032966,3.838403
13000,3.842078,3.880846
13200,3.743066,3.880846
13400,3.653082,3.880846
13600,3.679516,3.880846
13800,3.924968,3.880846
14000,3.894596,3.759115
14200,3.874834,3.759115
14400,3.707253,3.759115
14600,4.043326,3.759115
14800,3.426767,3.759115
15000,4.008941,3.868900
15200,3.905516,3.868900
15400,3.696756,3.868900
15600,3.959118,3.868900
15800,4.013828,3.868900
16000,4.008079,3.787211
16200,3.813248,3.787211
16400,3.770194,3.787211
16600,3.606102,3.787211
16800,3.941338,3.787211
17000,3.856107,3.879713
17200,3.819390,3.879713
17400,3.754285,3.879713
17600,3.690087,3.879713
17800,4.079637,3.879713
18000,3.671646,3.778975
18200,3.915964,3.778975
18400,3.796469,3.778975
18600,3.680695,3.778975
18800,3.749151,3.778975
19000,3.864189,3.778296
19200,3.709836,3.778296
19400,3.803180,3.778296
19600,3.821231,3.778296
19800,4.040031,3.778296
20000,3.872543,3.730204
20200,3.805841,3.730204
20400,3.776706,3.730204
20600,3.626909,3.730204
20800,3.686056,3.730204
21000,3.878315,3.697485
21200,3.771373,3.697485
21400,3.874578,3.697485
21600,3.830986,3.697485
21800,3.744043,3.697485
22000,3.658505,3.706867
22200,3.889369,3.706867
22400,3.922712,3.706867
22600,3.660931,3.706867
22800,3.512834,3.706867
23000,3.825336,3.678399
23200,3.752888,3.678399
23400,3.762847,3.678399
23600,3.602275,3.678399
23800,3.877818,3.678399
24000,3.801824,3.745994
24200,3.778841,3.745994
24400,3.758035,3.745994
24600,3.868592,3.745994
24800,3.742404,3.745994
25000,3.849202,3.723278
25200,3.919314,3.723278
25400,3.401978,3.723278
25600,3.791475,3.723278
25800,3.691152,3.723278
26000,3.582801,3.664565
26200,3.898569,3.664565
26400,3.603876,3.664565
26600,3.876184,3.664565
26800,3.803217,3.664565
27000,3.732234,3.682951
27200,3.739384,3.682951
27400,3.548025,3.682951
27600,3.789571,3.682951
27800,3.497766,3.682951
28000,3.713465,3.551029
28200,3.660033,3.551029
28400,3.864897,3.551029
28600,3.541221,3.551029
28800,3.551740,3.551029
29000,3.534045,3.634233
29200,3.815222,3.634233
29400,3.567518,3.634233
29600,3.664189,3.634233
29800,3.757370,3.634233
30000,3.726881,3.774013
30200,3.783300,3.774013
30400,3.415348,3.774013
30600,3.589048,3.774013
30800,3.826088,3.774013
31000,3.812851,3.656333
31200,3.822451,3.656333
31400,3.815521,3.656333
31600,3.561347,3.656333
31800,3.400492,3.656333
32000,3.679359,3.637593
32200,3.554592,3.637593
32400,3.637959,3.637593
32600,3.780116,3.637593
32800,3.247227,3.637593
33000,3.668134,3.606430
33200,3.692461,3.606430
33400,3.766147,3.606430
33600,3.744942,3.606430
33800,3.629982,3.606430
34000,3.547111,3.594115
34200,3.620500,3.594115
34400,3.666436,3.594115
34600,3.652530,3.594115
34800,3.688859,3.594115
35000,3.549928,3.657538
35200,3.586226,3.657538
35400,3.995598,3.657538
35600,3.719810,3.657538
35800,3.637995,3.657538
36000,3.487580,3.629104
36200,3.597277,3.629104
36400,3.663654,3.629104
36600,3.534775,3.629104
36800,3.658301,3.629104
37000,3.747325,3.671895
37200,3.553097,3.671895
37400,3.607364,3.671895
37600,3.782688,3.671895
37800,3.681579,3.671895
38000,3.607093,3.598753
38200,3.759994,3.598753
38400,3.673294,3.598753
38600,3.666943,3.598753
38800,3.208777,3.598753
39000,3.876990,3.658074
39200,3.667708,3.658074
39400,3.670593,3.658074
39600,3.448943,3.658074
39800,3.406235,3.658074
40000,3.832928,3.646206
40200,3.640492,3.646206
40400,3.697059,3.646206
40600,3.501426,3.646206
40800,3.434179,3.646206
41000,3.665669,3.512976
41200,3.826830,3.512976
41400,3.354108,3.512976
41600,3.668925,3.512976
41800,3.422118,3.512976
42000,3.701747,3.512188
42200,3.667331,3.512188
42400,3.480064,3.512188
42600,3.617913,3.512188
42800,3.664078,3.512188
43000,3.430693,3.599941
43200,3.712708,3.599941
43400,3.680740,3.599941
43600,3.659025,3.599941
43800,3.426797,3.599941
44000,3.525487,3.525957
44200,3.705884,3.525957
44400,3.683074,3.525957
44600,3.564126,3.525957
44800,3.600750,3.525957
45000,3.530760,3.539716
45200,3.557167,3.539716
45400,3.726468,3.539716
45600,3.637889,3.539716
45800,3.501202,3.539716
46000,3.636667,3.550378
46200,3.491792,3.550378
46400,3.599881,3.550378
46600,3.738474,3.550378
46800,3.550126,3.550378
47000,3.468918,3.582385
47200,3.628998,3.582385
47400,3.587288,3.582385
47600,3.326541,3.582385
47800,3.509107,3.582385
48000,3.638435,3.543203
48200,3.560112,3.543203
48400,3.482860,3.543203
48600,3.689951,3.543203
48800,3.533633,3.543203
49000,3.433963,3.485524
49200,3.090980,3.485524
49400,3.554034,3.485524
49600,3.626138,3.485524
49800,3.713593,3.485524
50000,3.637575,3.527355
